ACCOUNT_ID,VALUATION,VAL_DT,HPI_INDEX_ORIG,HPI_INDEX_CURR
NB010000007,178211.1,2019-09-01,108.5,119.5
NB010000042,180932.28,2012-12-01,94.7,110.0
NB010000049,463669.11,2014-09-01,112.5,106.8
NB010000056,1003033.54,2014-12-01,104.0,113.6
NB010000063,843163.39,2013-09-01,101.1,113.9
NB010000084,120615.04,2021-04-01,90.0,111.0
NB010000098,514606.24,2012-05-01,114.8,111.9
NB010000105,729344.99,2013-08-01,106.0,108.2
NB010000119,456982.65,2014-08-01,112.6,108.9
NB010000133,658135.52,2014-03-01,112.5,115.3
NB010000147,418814.01,2016-10-01,102.3,132.6
NB010000161,533184.66,2023-11-01,96.8,93.5
NB010000168,815526.02,2023-04-01,108.0,113.0
NB010000189,298614.85,2018-08-01,89.2,95.1
NB010000196,396091.69,2018-10-01,94.6,108.7
NB010000203,631830.38,2012-03-01,108.5,112.9
NB010000210,630169.85,2021-04-01,93.4,105.4
NB010000217,767103.91,2023-08-01,114.6,132.9
NB010000224,755548.51,2014-04-01,102.3,103.2
NB010000231,501854.73,2013-10-01,108.7,144.0
NB010000238,345977.27,2021-10-01,106.1,127.9
NB010000245,1068383.48,2012-02-01,117.7,150.0
NB010000259,358220.8,2013-07-01,101.9,118.6
NB010000266,708463.05,2013-07-01,93.0,102.8
NB010000273,120945.73,2021-06-01,116.0,120.9
NB010000294,409206.27,2019-08-01,108.0,131.6
NB010000301,535503.23,2021-04-01,89.2,92.1
NB010000315,130582.82,2019-03-01,107.5,110.5
NB010000322,177744.27,2019-05-01,101.6,104.4
NB010000329,773241.31,2015-08-01,112.6,109.9
NB010000350,414427.44,2016-01-01,109.3,128.4
NB010000364,273266.56,2023-11-01,97.6,115.9
NB010000371,1055658.79,2019-10-01,91.4,94.3
NB010000385,513221.71,2015-07-01,106.1,112.0
NB010000406,294735.49,2022-10-01,96.2,98.7
NB010000434,1234435.1,2012-09-01,95.2,100.4
NB010000441,827513.79,2021-04-01,96.0,103.4
NB010000483,209200.98,2019-10-01,95.0,96.6
NB010000490,627749.23,2014-04-01,113.6,142.7
NB010000497,246173.74,2021-02-01,94.5,119.0
NB010000511,383507.37,2017-01-01,102.3,116.6
NB010000518,610020.49,2023-06-01,108.5,110.6
NB010000525,513428.97,2019-12-01,106.8,135.5
NB010000532,111947.16,2023-07-01,99.7,105.0
