ACCOUNT_ID,PROD_CD,REGION,RATING_GRADE,DRAWN_BAL,UNDRAWN,DPD,FORBEARANCE,WATCHLIST,DEFAULT_IND,IO_FLAG,MONTHLY_PAYMENT,EIR,REMAIN_TERM_M,LTV,PD_LIFETIME_ORIG
NB010000000,2400,SE,7,7736.59,0,0,N,N,N,N,228.23,0.1437,40,0.0,0.021362
NB010000007,2100,MID,6,145954.89,0.0,0,N,N,N,N,1892.6,3.453,91,81.9,0.014524
NB010000014,2400,SCO,6,19166.4,2500,190,N,N,Y,N,275.81,0.2287,82,0.0,0.012586
NB010000021,2700,NW,6,9153.03,2500,0,N,N,N,N,317.66,0.0966,34,0.0,0.025181
NB010000028,2400,SE,4,44332.77,0,0,N,N,N,N,1188.92,0.1688,44,0.0,0.004015
NB010000035,2500,SCO,9,2328.98,2671.02,0,N,N,N,N,22.9,0.2688,120,0.0,0.037997
NB010000042,2100,SE,4,101503.01,0.0,0,N,N,N,N,460.67,3.9643,260,56.1,0.003656
NB010000049,2120,WAL,7,301848.59,0.0,0,N,N,N,N,3267.72,4.3751,109,65.1,0.023955
NB010000056,2100,WAL,5,595801.92,0.0,0,N,N,N,N,5131.72,3.9829,137,59.4,0.010728
NB010000063,2101,SCO,7,494936.91,0.0,0,N,N,N,Y,0.0,4.6385,52,58.7,0.019791
NB010000070 ,2700,SW,4,31107.3,0,0,N,N,N,N,692.58,0.063,53,0.0,0.005504
NB010000077,2400,LON,7,15922.76,0,0,N,N,N,N,361.32,0.0977,52,0.0,0.026695
NB010000084,2100,NE,3,87566.52,0.0,0,N,N,N,N,449.25,3.1491,230,72.6,0.003953
NB010000091,2600,SCO,7,244.58,755.42,0,Y,N,N,N,6.41,0.3624,45,0.0,0.038412
NB010000098,2130,WAL,12,337067.09,0.0,22,N,N,N,N,4017.57,5.8738,99,65.5,0.065394
NB010000105,2110,NE,10,615567.17,0.0,0,N,N,N,N,2882.42,3.842,252,84.4,0.06296
NB010000112,2600,NI,6,495.55,4.45,0,N,N,N,N,13.92,0.361,42,0.0,0.013766
NB010000119,2110,LON,6,345478.88,0.0,0,N,N,N,N,5995.07,5.5422,68,75.6,0.020086
NB010000126,2500,NE,10,1522.42,3477.58,0,N,N,N,N,24.95,0.3427,72,0.0,0.068077
NB010000133,2120,SE,5,529140.96,0.0,0,N,N,N,N,4080.96,7.2911,153,80.4,0.010838
NB010000140,2400,SW,15,39141.19,0,999,N,N,Y,N,1282.96,0.1205,36,0.0,0.14294
NB010000147,2100,LON,1,312016.44,0.0,0,N,N,N,N,2922.06,4.8185,126,74.5,0.000982
NB010000154,2500,SCO,4,3720.61,8279.39,0,N,N,N,N,175.61,0.271,25,0.0,0.006604
NB010000161,2110,NI,9,379094.29,0.0,0,N,N,N,N,1614.91,5.3734,277,71.1,0.051732
NB010000168,2100,WAL,8,444461.68,0.0,0,Y,N,N,N,3257.55,4.6931,161,54.5,0.030799
NB010000175,2500,WAL,6,935.83,564.17,0,N,N,N,N,25.68,0.2471,43,0.0,0.022025
NB010000182,2600,MID,2,347.74,652.26,0,N,N,N,N,13.24,0.3474,31,0.0,0.001095
NB010000189,2110,SW,6,226350.06,0.0,0,N,N,N,N,890.31,5.232,300,75.8,0.020374
NB010000196,2101,LON,15,306971.06,0.0,190,N,N,Y,Y,0.0,3.8978,115,77.5,0.153517
NB010000203,2100,NE,6,248941.17,0.0,0,N,N,N,N,1392.18,5.1204,211,39.4,0.01978
NB010000210 ,2100,LON,6,410870.74,0.0,0,N,N,N,N,1836.47,3.2872,264,65.2,0.018508
NB010000217 ,2100,SW,9,515493.83,0.0,0,N,N,N,N,2278.21,3.0817,267,67.2,0.036824
NB010000224 ,2101,SCO,4,556083.7,0.0,0,N,N,N,Y,0.0,5.6034,238,73.6,0.00566
NB010000231,2100,WAL,8,399978.22,0.0,0,N,N,N,N,2776.32,3.6851,170,79.7,0.038621
NB010000238,2100,NE,8,268478.36,0.0,0,N,N,N,N,1272.31,4.1523,249,77.6,0.041633
NB010000245 ,2100,SCO,7,573721.93,0.0,0,N,N,N,N,3091.29,4.8011,219,53.7,0.028905
NB010000252,2600,SCO,5,198.81,301.19,0,N,N,N,N,5.59,0.1985,42,0.0,0.010266
NB010000259,2100,NW,10,236425.73,0.0,0,N,N,N,N,1134.07,4.6251,246,66.0,0.066146
NB010000266,2101,MID,3,371943.1,0.0,0,N,N,N,Y,0.0,3.5252,172,52.5,0.003806
NB010000273 ,2110,NW,4,93974.83,0.0,0,N,N,N,N,684.51,6.5208,162,77.7,0.006189
