SEGMENT,STAGE,present,N_EXPOSURES.expected,N_EXPOSURES.actual,N_EXPOSURES.diff,N_EXPOSURES.within_tolerance,TOTAL_EAD.expected,TOTAL_EAD.actual,TOTAL_EAD.diff,TOTAL_EAD.within_tolerance,TOTAL_ECL.expected,TOTAL_ECL.actual,TOTAL_ECL.diff,TOTAL_ECL.within_tolerance,COVERAGE.expected,COVERAGE.actual,COVERAGE.diff,COVERAGE.within_tolerance
BTL_MORTGAGE,1,True,16,16,0.0,True,5135282.68,5135282.68,0.0,True,1354.55,1354.55,0.0,True,0.000264,0.0,-0.000264,True
BTL_MORTGAGE,2,True,227,227,0.0,True,77198105.04,77198105.04,0.0,True,1914799.67,1914799.67,0.0,True,0.024804,0.02,-0.004803999999999999,True
BTL_MORTGAGE,3,True,11,11,0.0,True,4093956.46,4093956.46,0.0,True,614093.47,614093.47,0.0,True,0.15,0.15,0.0,True
CREDIT_CARD,1,True,183,183,0.0,True,870038.42,870038.43,0.010000000009313226,True,7612.47,7612.47,0.0,True,0.00875,0.01,0.0012499999999999994,True
CREDIT_CARD,2,True,144,144,0.0,True,696748.68,696748.69,0.009999999892897904,True,58314.92,58314.92,0.0,True,0.083696,0.08,-0.003696000000000005,True
CREDIT_CARD,3,True,11,11,0.0,True,55604.82,55604.82,0.0,True,49877.52,49877.52,0.0,True,0.897,0.9,0.0030000000000000027,True
OVERDRAFT,1,True,96,96,0.0,True,184168.54,184168.54,0.0,True,1617.73,1617.73,0.0,True,0.008784,0.01,0.001216,True
OVERDRAFT,2,True,27,27,0.0,True,56332.57,56332.57,0.0,True,8047.26,8047.26,0.0,True,0.142853,0.14,-0.0028529999999999944,True
OVERDRAFT,3,True,4,4,0.0,True,9001.34,9001.34,0.0,True,8695.29,8695.29,0.0,True,0.966,0.97,0.0040000000000000036,True
PERSONAL_LOAN,1,True,244,244,0.0,True,5771487.13,5771487.13,0.0,True,51252.84,51252.84,0.0,True,0.00888,0.01,0.0011199999999999995,True
PERSONAL_LOAN,2,True,91,91,0.0,True,2135171.68,2135171.68,0.0,True,168288.2,168288.2,0.0,True,0.078817,0.08,0.0011830000000000035,True
PERSONAL_LOAN,3,True,20,20,0.0,True,476366.72,476366.72,0.0,True,324882.1,324882.1,0.0,True,0.682,0.68,-0.0020000000000000018,True
RETAIL_MORTGAGE,1,True,45,45,0.0,True,16233520.71,16233520.71,0.0,True,2063.4,2063.4,0.0,True,0.000127,0.0,-0.000127,True
RETAIL_MORTGAGE,2,True,605,605,0.0,True,196679408.46,196679408.46,0.0,True,2829414.03,2829414.03,0.0,True,0.014386,0.01,-0.004385999999999999,True
RETAIL_MORTGAGE,3,True,19,19,0.0,True,7186496.91,7186496.91,0.0,True,718649.69,718649.69,0.0,True,0.1,0.1,0.0,True
SME_TERM,1,True,93,93,0.0,True,14595159.38,14595159.38,0.0,True,32776.94,32776.94,0.0,True,0.002246,0.0,-0.002246,True
SME_TERM,2,True,154,154,0.0,True,31371475.61,31371475.61,0.0,True,1708707.85,1708707.85,0.0,True,0.054467,0.05,-0.004466999999999999,True
SME_TERM,3,True,10,10,0.0,True,1265662.88,1265662.88,0.0,True,475170.54,475170.54,0.0,True,0.375432,0.38,0.0045680000000000165,True
