file,layer,macro,purpose,reads,writes,calls,called_by,invoked_in_batch
sas/driver/run_ifrs9_ecl.sas,driver,(program),orchestrate the monthly ECL calculation,&PERIOD|&INBOUND./loan_tape_<period>.csv|&INBOUND./collateral_<period>.csv|config/rules/*.csv|&INBOUND./macro_scenarios.csv,stg.lgd_all|stg.lgd_life|out.ecl_by_segment|disclosure files,period_dates|load_loan_tape|clean_loan_tape|map_product_hierarchy|derive_arrears|ead_ccf|pd_pit|pd_term_structure|lgd_secured|lgd_unsecured|staging_sicr|fli_overlay|discount_eir|ecl_calc|aggregate_reporting|export_disclosure|recon_controls,sas/driver/run_month_end.sas,yes
sas/driver/run_month_end.sas,driver,(program),include the ECL driver and build the board pack aggregate,run_ifrs9_ecl.sas|out.ecl_by_segment,out.board_pack,NONE,jobs/monthly_ecl.sh,yes
jobs/monthly_ecl.sh,shell,(program),launch monthly SAS batch and scan the SAS log,sas/driver/run_month_end.sas|sas/autoexec.sas|config/env/<env>.cfg,logs/ecl_<period>_<env>.log|logs/ecl_<period>_<env>.lst,NONE,NONE,yes
sas/autoexec.sas,autoexec,_env,load environment configuration,&BASE./config/env/&e..cfg,log only,,NONE,yes
sas/formats/fmt_product.sas,format,(program),define product and stage display formats,,$seg. and stage. formats,NONE,sas/autoexec.sas,yes
sas/formats/fmt_ratings.sas,format,(program),define rating-grade display format,,grade. format,NONE,sas/autoexec.sas,yes
sas/macros/m_aggregate_reporting.sas,core,aggregate_reporting,aggregate EAD and ECL by segment and stage,stg.ecl_acct,out.ecl_by_segment,log_step,sas/driver/run_ifrs9_ecl.sas,yes
sas/macros/m_clean_loan_tape.sas,core,clean_loan_tape,"normalise arrears, flags and EIR fields",stg.loan_tape,stg.tape_clean,log_step|assert_rows,sas/driver/run_ifrs9_ecl.sas,yes
sas/macros/m_derive_arrears.sas,core,derive_arrears,assign arrears buckets,stg.tape_mapped,stg.tape_arrears,log_step,sas/driver/run_ifrs9_ecl.sas,yes
sas/macros/m_discount_eir.sas,core,discount_eir,calculate monthly EIR discount factors,stg.pd_curve,stg.disc,log_step,sas/driver/run_ifrs9_ecl.sas,yes
